================================================================================
代理コミュニケーション 全会話データ
総ノード数: 3279  (Turn1〜7)
================================================================================

【相手の最初のメッセージ（相）】
  先日の勉強会ではありがとうございました！金曜の夜、いかがお過ごしですか？

────────────────────────────────────────────────────────────
Turn1 [テンション低]
  自: お疲れ様です。家でゆっくりしてます。
  相: お疲れ様です。私も今やっと一息ついて、遅めの晩ご飯にしてます。もうご飯食べました？
  Turn2 [テンション低]
    自: 食べました。あまり凝ったものではないですけど。
    相: もう食べたんですね。私はいつもサラダチキンとブロッコリーばっかりで…正直飽きてます（笑）何食べました？
    Turn3 [テンション低]
      自: へえ、ストイックですね。
      相: まあ、味気ないですけどね（笑）ご飯食べながら動画とか見ます？私はつい開いちゃうんですよね。
      Turn4 [テンション低]
        自: ニュース見るくらいですね。
        相: ニュース、重要ですよね。…ただ私、最近YouTubeのおすすめ欄が『90年代ドラマ主題歌』だらけになっちゃって（笑）。イントロ聴くだけで当時のこと思い出して、つい見入っちゃうんですよ。
        Turn5 [テンション低]
          自: そうなんですね。
          相: マニアックな話してすみません（笑）
          Turn6 [テンション低]
            自: こちらこそ。
            相: 今日は話せてよかったです。また声かけてください。
            Turn7 [テンション低]
              自: はい。おやすみなさい。
              相(終): おやすみなさい。
            Turn7 [テンション中]
              自: こちらこそ。またぜひ話しましょう。おやすみなさい！
              相(終): おやすみなさい！
            Turn7 [テンション高]
              自: 絶対また話しましょう！次はもっとゆっくり話したいです！おやすみなさい！
              相(終): ぜひ！おやすみなさい！

          Turn6 [テンション中]
            自: こちらこそ。また話しましょうね。
            相: またいつでも声かけてくださいね。
            Turn7 [テンション低]
              自: はい。おやすみなさい。
              相(終): おやすみなさい。
            Turn7 [テンション中]
              自: こちらこそ。またぜひ話しましょう。おやすみなさい！
              相(終): おやすみなさい！
            Turn7 [テンション高]
              自: 絶対また話しましょう！次はもっとゆっくり話したいです！おやすみなさい！
              相(終): ぜひ！おやすみなさい！

          Turn6 [テンション高]
            自: こちらこそ！またぜひ話しましょう！
            相: ぜひ！楽しみにしてますね。
            Turn7 [テンション低]
              自: ぜひ。おやすみなさい。
              相(終): おやすみなさい。
            Turn7 [テンション中]
              自: 楽しみにしています。おやすみなさい！
              相(終): おやすみなさい！
            Turn7 [テンション高]
              自: 絶対また話しましょう！今から楽しみです！おやすみなさい！
              相(終): ぜひ！おやすみなさい！

        Turn5 [テンション中]
          自: 懐かしいですね（笑）あの頃の月9とか視聴率すごかったですもんね。どの作品が好きでしたか？
          相: ですよね！同世代トークできて楽しかったです。また懐メロ情報交換しましょう！
          Turn6 [テンション低]
            自: ありがとうございます。
            相: 今日は話せてよかったです。また声かけてください。
            Turn7 [テンション低]
              自: はい。おやすみなさい。
              相(終): おやすみなさい。
            Turn7 [テンション中]
              自: こちらこそ。またぜひ話しましょう。おやすみなさい！
              相(終): おやすみなさい！
            Turn7 [テンション高]
              自: 絶対また話しましょう！次はもっとゆっくり話したいです！おやすみなさい！
              相(終): ぜひ！おやすみなさい！

          Turn6 [テンション中]
            自: こちらこそ楽しかったです！また話しましょう。
            相: こちらこそ楽しかったです！またいつでも声かけてくださいね。
            Turn7 [テンション低]
              自: はい。おやすみなさい。
              相(終): おやすみなさい。
            Turn7 [テンション中]
              自: こちらこそ。またぜひ話しましょう。おやすみなさい！
              相(終): おやすみなさい！
            Turn7 [テンション高]
              自: 絶対また話しましょう！次はもっとゆっくり話したいです！おやすみなさい！
              相(終): ぜひ！おやすみなさい！

          Turn6 [テンション高]
            自: こちらこそ楽しかったです！また連絡していいですか？ぜひまた話しましょう！
            相: もちろんです！楽しみにしてますね。
            Turn7 [テンション低]
              自: はい。おやすみなさい。
              相(終): おやすみなさい。
            Turn7 [テンション中]
              自: こちらこそ楽しみです。おやすみなさい！
              相(終): おやすみなさい！
            Turn7 [テンション高]
              自: 絶対楽しくなりますよね！今から楽しみです！おやすみなさい！
              相(終): ぜひ！おやすみなさい！

        Turn5 [テンション高]
          自: そのイントロ感、めちゃくちゃわかります！私も気づいたら2〜3時間見てること、あります！あの頃のドラマって独特のパワーがあって、今見ても全然古くないですよね！お気に入りの主題歌とかありますか？
          相: 最高です 話が合って嬉しいです！今度ご飯でも行きませんか？
          Turn6 [テンション低]
            自: ぜひ。またご連絡ください。
            相: じゃあ楽しみにしてます。また連絡しますね。
            Turn7 [テンション低]
              自: ありがとうございました。おやすみなさい。
              相(終): おやすみなさい。
            Turn7 [テンション中]
              自: こちらこそありがとうございます。おやすみなさい！
              相(終): おやすみなさい！
            Turn7 [テンション高]
              自: こちらこそありがとうございました！また連絡しますね！おやすみなさい！
              相(終): ぜひ！おやすみなさい！

          Turn6 [テンション中]
            自: ぜひ行きましょう！楽しみにしてます。また連絡しますね。
            相: ありがとうございました！また話しましょう！
            Turn7 [テンション低]
              自: ありがとうございました。おやすみなさい。
              相(終): おやすみなさい。
            Turn7 [テンション中]
              自: こちらこそありがとうございます。おやすみなさい！
              相(終): おやすみなさい！
            Turn7 [テンション高]
              自: こちらこそ！ぜひまた話しましょう！おやすみなさい！
              相(終): ぜひ！おやすみなさい！

          Turn6 [テンション高]
            自: 絶対行きましょう！いつ頃が空いてますか？今から楽しみです！
            相: 近いうちに絶対！予定合わせましょう。楽しみにしてます！
            Turn7 [テンション低]
              自: ありがとうございました。おやすみなさい。
              相(終): おやすみなさい。
            Turn7 [テンション中]
              自: こちらこそ楽しかったです。おやすみなさい！
              相(終): おやすみなさい！
            Turn7 [テンション高]
              自: こちらこそ楽しかったです！また絶対連絡しますね！おやすみなさい！
              相(終): 楽しみにしてます！おやすみなさい！

      Turn4 [テンション中]
        自: 見ますね。Netflixとかで見逃したアニメ見たりします。
        相: Netflixいいですよね！何かハマってるのあります？私は最近なぜか懐かしい曲ばっかり聴いちゃって（笑）
        Turn5 [テンション低]
          自: へえ、そうなんですね。
          相: マニアックな話ですみません（笑）
          Turn6 [テンション低]
            自: こちらこそ。
            相: 今日は話せてよかったです。また声かけてください。
            Turn7 [テンション低]
              自: はい。おやすみなさい。
              相(終): おやすみなさい。
            Turn7 [テンション中]
              自: こちらこそ。またぜひ話しましょう。おやすみなさい！
              相(終): おやすみなさい！
            Turn7 [テンション高]
              自: 絶対また話しましょう！次はもっとゆっくり話したいです！おやすみなさい！
              相(終): ぜひ！おやすみなさい！

          Turn6 [テンション中]
            自: こちらこそ。また話しましょうね。
